iter	Passed	Remaining
908	4347	435
909	4352	430
910	4356	425
911	4360	420
912	4364	415
913	4369	411
914	4373	406
915	4377	401
916	4381	396
917	4387	391
918	4391	387
919	4395	382
920	4400	377
921	4404	372
922	4408	367
923	4412	362
924	4417	358
925	4421	353
926	4426	348
927	4430	343
928	4435	338
929	4439	334
930	4443	329
931	4448	324
932	4452	319
933	4456	314
934	4460	310
935	4466	305
936	4470	300
937	4474	295
938	4479	290
939	4484	286
940	4488	281
941	4492	276
942	4497	271
943	4501	267
944	4504	262
945	4509	257
946	4514	252
947	4518	247
948	4522	243
949	4526	238
950	4531	233
951	4535	228
952	4539	223
953	4544	219
954	4548	214
955	4552	209
956	4556	204
957	4561	199
958	4565	195
959	4569	190
960	4573	185
961	4578	180
962	4583	176
963	4588	171
964	4593	166
965	4598	161
966	4603	157
967	4609	152
968	4615	147
969	4622	142
970	4628	138
971	4633	133
972	4639	128
973	4646	124
974	4650	119
975	4654	114
976	4659	109
977	4664	104
978	4668	100
979	4672	95
980	4677	90
981	4682	85
982	4686	81
983	4691	76
984	4695	71
985	4703	66
986	4710	62
987	4716	57
988	4724	52
989	4729	47
990	4735	43
991	4741	38
992	4746	33
993	4750	28
994	4755	23
995	4762	19
996	4767	14
997	4773	9
998	4778	4
999	4785	0
